num_violated_rows,pct_violated_rows,num_denominator_rows,execution_time,query_text,check_name,check_level,check_description,cdm_table_name,cdm_field_name,concept_id,unit_concept_id,sql_file,category,subcategory,context,warning,error,checkid,is_error,not_applicable,failed,passed,not_applicable_reason,threshold_value,notes_value
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,CARE_SITE_ID,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.CARE_SITE_ID,null,null,dqd_cdmField_CARE_SITE_CARE_SITE_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,CARE_SITE_NAME,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.CARE_SITE_NAME,null,null,dqd_cdmField_CARE_SITE_CARE_SITE_NAME,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,CARE_SITE_SOURCE_VALUE,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.CARE_SITE_SOURCE_VALUE,null,null,dqd_cdmField_CARE_SITE_CARE_SITE_SOURCE_VALUE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,LOCATION_ID,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.LOCATION_ID,null,null,dqd_cdmField_CARE_SITE_LOCATION_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,PLACE_OF_SERVICE_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.PLACE_OF_SERVICE_CONCEPT_ID,null,null,dqd_cdmField_CARE_SITE_PLACE_OF_SERVICE_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CARE_SITE,PLACE_OF_SERVICE_SOURCE_VALUE,null,null,cdmField.sql,Conformance,Relational,CARE_SITE.PLACE_OF_SERVICE_SOURCE_VALUE,null,null,dqd_cdmField_CARE_SITE_PLACE_OF_SERVICE_SOURCE_VALUE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_ETL_REFERENCE,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_ETL_REFERENCE,null,null,dqd_cdmField_CDM_SOURCE_CDM_ETL_REFERENCE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_HOLDER,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_HOLDER,null,null,dqd_cdmField_CDM_SOURCE_CDM_HOLDER,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_RELEASE_DATE,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_RELEASE_DATE,null,null,dqd_cdmField_CDM_SOURCE_CDM_RELEASE_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_SOURCE_ABBREVIATION,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_SOURCE_ABBREVIATION,null,null,dqd_cdmField_CDM_SOURCE_CDM_SOURCE_ABBREVIATION,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_SOURCE_NAME,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_SOURCE_NAME,null,null,dqd_cdmField_CDM_SOURCE_CDM_SOURCE_NAME,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_VERSION,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_VERSION,null,null,dqd_cdmField_CDM_SOURCE_CDM_VERSION,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,CDM_VERSION_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.CDM_VERSION_CONCEPT_ID,null,null,dqd_cdmField_CDM_SOURCE_CDM_VERSION_CONCEPT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,SOURCE_DESCRIPTION,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.SOURCE_DESCRIPTION,null,null,dqd_cdmField_CDM_SOURCE_SOURCE_DESCRIPTION,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,SOURCE_DOCUMENTATION_REFERENCE,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.SOURCE_DOCUMENTATION_REFERENCE,null,null,dqd_cdmField_CDM_SOURCE_SOURCE_DOCUMENTATION_REFERENCE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,SOURCE_RELEASE_DATE,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.SOURCE_RELEASE_DATE,null,null,dqd_cdmField_CDM_SOURCE_SOURCE_RELEASE_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,CDM_SOURCE,VOCABULARY_VERSION,null,null,cdmField.sql,Conformance,Relational,CDM_SOURCE.VOCABULARY_VERSION,null,null,dqd_cdmField_CDM_SOURCE_VOCABULARY_VERSION,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT,COHORT_DEFINITION_ID,null,null,cdmField.sql,Conformance,Relational,COHORT.COHORT_DEFINITION_ID,null,null,dqd_cdmField_COHORT_COHORT_DEFINITION_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT,COHORT_END_DATE,null,null,cdmField.sql,Conformance,Relational,COHORT.COHORT_END_DATE,null,null,dqd_cdmField_COHORT_COHORT_END_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT,COHORT_START_DATE,null,null,cdmField.sql,Conformance,Relational,COHORT.COHORT_START_DATE,null,null,dqd_cdmField_COHORT_COHORT_START_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT,SUBJECT_ID,null,null,cdmField.sql,Conformance,Relational,COHORT.SUBJECT_ID,null,null,dqd_cdmField_COHORT_SUBJECT_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,COHORT_DEFINITION_DESCRIPTION,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.COHORT_DEFINITION_DESCRIPTION,null,null,dqd_cdmField_COHORT_DEFINITION_COHORT_DEFINITION_DESCRIPTION,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,COHORT_DEFINITION_ID,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.COHORT_DEFINITION_ID,null,null,dqd_cdmField_COHORT_DEFINITION_COHORT_DEFINITION_ID,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,COHORT_DEFINITION_NAME,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.COHORT_DEFINITION_NAME,null,null,dqd_cdmField_COHORT_DEFINITION_COHORT_DEFINITION_NAME,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,COHORT_DEFINITION_SYNTAX,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.COHORT_DEFINITION_SYNTAX,null,null,dqd_cdmField_COHORT_DEFINITION_COHORT_DEFINITION_SYNTAX,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,COHORT_INITIATION_DATE,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.COHORT_INITIATION_DATE,null,null,dqd_cdmField_COHORT_DEFINITION_COHORT_INITIATION_DATE,0,0,0,1,null,0.15,null
0,0,1,2026-07-22 07:04:35.602108,null,cdmField,FIELD,The number and percent of expected CDM fields that are missing or unavailable.,COHORT_DEFINITION,DEFINITION_TYPE_CONCEPT_ID,null,null,cdmField.sql,Conformance,Relational,COHORT_DEFINITION.DEFINITION_TYPE_CONCEPT_ID,null,null,dqd_cdmField_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID,0,0,0,1,null,0.15,null
